Course_Code,Teacher_ID
23ENG101,1
23ENG101,2
23MAT107,3
23MAT107,4
23CSE101,5
23CSE101,6
23EEE104,7
23EEE104,8
23CSE102,9
23CSE102,10
22ADM101,11
22ADM101,12
22AVP103,13
22AVP103,14
23MAT116,28
23MAT116,29
23MAT117,30
23MAT117,31
23CSE111,32
23CSE111,33
23PHY115,34
23PHY115,35
23CSE113,36
23CSE113,37
22ADM111,38
22ADM111,39
22MAT110,15
22PHY106,16
22AIE101,17
22AIE102,18
22MAT121,19
22ADM101,20
23ENG101,21
22AVP103,22
22MAT122,40
22AIE111,41
22AIE112,42
22AIE113,43
22AIE114,44
22AIE115,45
22ADM111,46
23ENG101,23
23MAT122,47
23ELC101,48
23MEE102,49
23MEE182,50
22ADM101,24
22AVP103,25
23MAT125,51
23ELC111,52
23ELC112,53
23ELC113,54
23ELC114,55
23EEE183,56
23ELC181,57
22ADM111,58
23ECE101,59
23MAT124,60
23ECE102,61
23ECE103,62
23ECE104,63
23ECE105,64
23ECE181,65
23ECE182,66
22ADM101,27
22AVP103,26
23MAT130,67
23ECE111,68
23ECE112,69
23ECE114,70
23ECE183,71
23ECE184,72
23ECE185,73
23ENG101,74
22ADM111,75